product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
4.4,677,https://www.daraz.pk/products/5-i266012218-s1481879435.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/637b0aa34005a2e39b46af02a525a9a5.jpg,The Vintage,The Vintage Clothing Pack of 5 basic premium full sleeves T shirts,289138,266012218,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=266012218&channelSource=pdp
4.7,247,https://www.daraz.pk/products/5-u-uu-uuu-u-u-u-u-u-uuuu-u-u-u-i354245300-s1787534978.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/9fdea4f55eafc59a094b77108462843a.jpg,The Vintage,Pack of 5 high quality gym printed T-shirt tees for men,289138,354245300,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=354245300&channelSource=pdp
,,https://www.daraz.pk/products/2-i117224580-s1269682916.html?search=1,699,650,-7%,https://static-01.daraz.pk/p/c51f0d53cc9510c72cfe0e0e29d9df0f.jpg,No Brand,FACE 2  ROUND NECK HALF SLEEVES PRINTED T-Shirt,39704,117224580,Wardrobe,85%,0.85,3,1083163,85%,//www.daraz.pk/shop/orange-store/?itemId=117224580&channelSource=pdp
4.6,179,https://www.daraz.pk/products/amazing-summer-collection-smart-fit-white-trendy-printed-o-neck-half-sleeves-t-shirt-for-men-i227866291-s1448228517.html?search=1,369,357,-3%,https://static-01.daraz.pk/p/0143f5e2b4b50349123d0e25f3f27a18.jpg,No Brand,Amazing Summer Collection Smart Fit White Trendy Printed O-Neck Half Sleeves T Shirt For Men,39704,227866291,JUST THINK N BUY,85%,0.85,3,1066703,93%,//www.daraz.pk/shop/just-think-n-buy/?itemId=227866291&channelSource=pdp
,,https://www.daraz.pk/products/mens-black-damage-style-printed-full-sleeves-t-shirt-i400917949-s1935619697.html?search=1,1299,767,-41%,,No Brand,Men's Black Damage Style Printed Full Sleeves T-shirt,39704,400917949,EZI Pick,78%,0.78,3,1104934,82%,//www.daraz.pk/shop/ezi-pick/?itemId=400917949&channelSource=pdp
4.4,1096,https://www.daraz.pk/products/the-vintage-clothing-basic-premium-t-shirt-i143156136-s1304030511.html?search=1,500,350,-30%,https://static-01.daraz.pk/p/4b8b257428286bc26d5727b3f49cd0d5.jpg,The Vintage,The Vintage Clothing basic premium T shirt for men,289138,143156136,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143156136&channelSource=pdp
,,https://www.daraz.pk/products/-i396956881-s1922687365.html?search=1,829,331,-60%,https://static-01.daraz.pk/p/2361731c86f8699e971cc3e60d5c2d34.jpg,No Brand,New Branded Stylish Half  Sleeve T Shirt for Men,39704,396956881,YH ASSOCIATES,79%,0.79,3,1005610,100%,//www.daraz.pk/shop/yh-associates/?itemId=396956881&channelSource=pdp
4.6,175,https://www.daraz.pk/products/-i395947546-s1921131004.html?search=1,699,359,-49%,https://static-01.daraz.pk/p/cb541cd91b50a434bb8ac886b7b0de61.jpg,No Brand,New THE Boys Printed T shirt for men Half sleeves round neck Trendy T shirt,39704,395947546,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=395947546&channelSource=pdp
4.6,3316,https://www.daraz.pk/products/aaaaaaaa-aaaaaaaa-5-aaaa-aaaaaa-aaaaaaaa-aaaaaaaa-aaaaaaaaaa-aaaaaaaa-aaaa-aaaaaa-i143150814-s1304028652.html?search=1,2000,1450,-28%,https://static-01.daraz.pk/p/6c8828d04f255677c3441838f0eda6b7.jpg,The Vintage,The Vintage Clothing Pack of 5 plain half sleeves T shirts for men,289138,143150814,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143150814&channelSource=pdp
4.6,868,https://www.daraz.pk/products/5-u-uu-uuu-u-u-u-u-u-uuuu-u-u-u-i169102811-s1338716564.html?search=1,5000,1650,-67%,https://static-01.daraz.pk/p/47c2687fe38b5ea9764ae78bb79614f1.jpg,The Vintage,Pack of 5 high quality printed T-shirt tees for men,289138,169102811,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=169102811&channelSource=pdp
,,https://www.daraz.pk/products/-i319728302-s1696976794.html?search=1,1000,575,-42%,https://static-01.daraz.pk/p/a4358179f156184d8073509266924956.jpg,No Brand,Round Neck T-Shirt For Men,39704,319728302,Wearall,96%,0.96,3,6005016069019,97%,//www.daraz.pk/shop/wearall/?itemId=319728302&channelSource=pdp
4.6,43,https://www.daraz.pk/products/3-i356071939-s1792699187.html?search=1,1400,999,-29%,https://static-01.daraz.pk/p/79af334223f4faaea022ee1a54aff0b0.jpg,The Vintage,The Vintage Clothing Pack of 3 premium Marvel printed T-shirt,289138,356071939,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=356071939&channelSource=pdp
4.5,2,https://www.daraz.pk/products/-i330613942-s1714793510.html?search=1,759.0,390.0,-49%,https://static-01.daraz.pk/p/a7edcc724fd58ea9da619c910f96e443.jpg,No Brand,"New T-Shirt For Mens Stylish Design Ertugrul ghazi Casual Wear , Round Neck, Export Quality ,Half Sleeves",39704,330613942,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=330613942&channelSource=pdp
4.5,99,https://www.daraz.pk/products/-i267064655-s1482355116.html?search=1,655,339,-48%,https://static-01.daraz.pk/p/f80ea396b667c2ed0cb85a9451120db8.jpg,No Brand,Round Neck T Shirts For Mens and Womens Double Sttiched Cotton Jersey Fabric Soft and Comfortable T shirts For Boys and Girls,39704,267064655,amjad store 1643017839,91%,0.91,3,6005016192375,93%,//www.daraz.pk/shop/amjad-store-1643017839/?itemId=267064655&channelSource=pdp
4.8,53,https://www.daraz.pk/products/5-i353807202-s1787478375.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/f5f3fa3f20ddc5fbac0e4072527af0da.jpg,The Vintage,The Vintage Clothing Pack of 5 premium T shirts,289138,353807202,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=353807202&channelSource=pdp
5.0,5,https://www.daraz.pk/products/hy-i217666186-s1428206301.html?search=1,800,477,-40%,https://static-01.daraz.pk/p/9fb60ae05e6bb869bda1fc227008ae36.jpg,No Brand,"HY Boutique Lot Linning Screen Print on Full Sleeve T.ShirtJet hero /Abang Design best Collection full stitched shirt, easy wash ready to wear)",39704,217666186,Kishmish 1592297203,85%,0.85,3,6005010054122,100%,//www.daraz.pk/shop/kishmish-1592297203/?itemId=217666186&channelSource=pdp
5.0,7,https://www.daraz.pk/products/markhor-logo-t-shirt-for-mens-printed-t-shirt-half-sleeves-round-neck-tshirt-i394363683-s1918524224.html?search=1,650,354,-46%,https://static-01.daraz.pk/p/d9da31d25709d14066f20a4f3036be8f.jpg,No Brand,Markhor Logo T Shirt For Mens Printed T-Shirt Half Sleeves Round Neck Tshirt,39704,394363683,JZgxmFRC,92%,0.92,3,6005032557528,94%,//www.daraz.pk/shop/jzgxmfrc/?itemId=394363683&channelSource=pdp
4.6,250,https://www.daraz.pk/products/3-u-uu-u-u-u-u-uu-u-uuuu-u-u-uuu-u-u-i170598623-s1340684291.html?search=1,3000,999,-67%,https://static-01.daraz.pk/p/b9da8b87b7fe55a68df4d1ff986e74ff.jpg,The Vintage,Pack of 3 high quality imported stylish casual printed T shirt for men,289138,170598623,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=170598623&channelSource=pdp
4.6,282,https://www.daraz.pk/products/-i263906023-s1480685021.html?search=1,849,685,-19%,https://static-01.daraz.pk/p/e417ce77e757ae1d7fef805e8459cd0a.jpg,Paradise Zone,New Long Sleeve Plain Panel Printed Tshirt For Men,289682,263906023,Paradise Zone,91%,0.91,3,1042506,95%,//www.daraz.pk/shop/paradise-zone/?itemId=263906023&channelSource=pdp
5.0,4,https://www.daraz.pk/products/-i396609989-s1922132451.html?search=1,830,329,-60%,https://static-01.daraz.pk/p/cb9fb1d63159b86a58cdbeb647a80a5e.jpg,No Brand,"T-Shirt For Men, Trending Wear Men's Round Neck T-Shirts For Men",39704,396609989,Aurangzeb Shop,83%,0.83,3,1138402,100%,//www.daraz.pk/shop/chace-up/?itemId=396609989&channelSource=pdp
4.7,78,https://www.daraz.pk/products/5-u-uu-uuu-u-u-u-u-u-uuuu-u-u-u-i354222931-s1787534843.html?search=1,2000,1699,-15%,https://static-01.daraz.pk/p/7180b73527631a4377f38e2f0a85bc74.jpg,The Vintage,Pack of 5 premium printed T-shirts for men,289138,354222931,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=354222931&channelSource=pdp
4.7,582,https://www.daraz.pk/products/4-i170602605-s1340674753.html?search=1,1600,1299,-19%,https://static-01.daraz.pk/p/6393007ef34d750b6a4bbf4d8b59775f.jpg,the vintage clothing,The vintage clothing pack of 4 premium printed T shirts,123460855,170602605,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=170602605&channelSource=pdp
3.7,3,https://www.daraz.pk/products/round-neck-t-shirts-for-men-your-attitude-my-foot-printed-double-stitched-cotton-jersey-fabric-soft-and-comfortable-t-shirts-for-boys-i390131024-s1914353251.html?search=1,699,363,-48%,https://static-01.daraz.pk/p/8c116a13cb6ba1f4ec6d0a9f0cf360d7.jpg,No Brand,Round Neck T Shirts For Men Your Attitude My Foot Printed Double Stitched Cotton Jersey Fabric Soft and Comfortable T shirts For Boys,39704,390131024,SIBZ SENSATION,85%,0.85,3,1141731,93%,//www.daraz.pk/shop/sibz-sensation/?itemId=390131024&channelSource=pdp
4.5,343,https://www.daraz.pk/products/4-i143364704-s1304352723.html?search=1,1600,1199,-25%,https://static-01.daraz.pk/p/fece028425b4d02d3ed3786add3ac67a.jpg,The Vintage,The Vintage Clothing Pack of 4 basic half sleeves T shirt for men,289138,143364704,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143364704&channelSource=pdp
4.6,232,https://www.daraz.pk/products/5-i143060147-s1303836959.html?search=1,3000,1450,-52%,https://static-01.daraz.pk/p/29531a2df8c9b9780b077856af545099.jpg,The Vintage,Pack of 5 multicolour plain half sleeves T shirt for men in wholesale price,289138,143060147,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=143060147&channelSource=pdp
,,https://www.daraz.pk/products/-i353318090-s1786311509.html?search=1,1499,939,-37%,https://static-01.daraz.pk/p/6deb38a35c5fadf657b61ebf2fbcd8e7.jpg,No Brand,Black Dragon Printed Cotton Tracksuit Trouser & T Shirt For Men,39704,353318090,Leather freaks,83%,0.83,3,1093117,85%,//www.daraz.pk/shop/leather-freaks/?itemId=353318090&channelSource=pdp
4.6,108,https://www.daraz.pk/products/4-i354246511-s1787552561.html?search=1,1600,1299,-19%,https://static-01.daraz.pk/p/4dbb04d3ecc45606f9f55ddfac9d771c.jpg,The Vintage,The vintage clothing pack of 4 premium printed T shirts,289138,354246511,The Vintage Clothing,88%,0.88,3,1128650,95%,//www.daraz.pk/shop/vintage-apparels/?itemId=354246511&channelSource=pdp
4.7,270,https://www.daraz.pk/products/-i220937447-s1434953478.html?search=1,899,587,-35%,https://static-01.daraz.pk/p/46afd82b9379c7c444d186ecd32dddc3.jpg,Paradise Zone,Short Sleeves Allover Leaf Printed Tshirt For Men Paradise zone,289682,220937447,Paradise Zone,91%,0.91,3,1042506,95%,//www.daraz.pk/shop/paradise-zone/?itemId=220937447&channelSource=pdp
5.0,1,https://www.daraz.pk/products/-i401998389-s1940089154.html?search=1,699,363,-48%,https://static-01.daraz.pk/p/5ffe0d6cb9f66704ac292942fecaaab6.jpg,No Brand,THE BOYS T Shirt for Men & boy New Summer collection in stylish printed round neck half sleeves,39704,401998389,Sobi Store.,91%,0.91,3,6005016324020,96%,//www.daraz.pk/shop/sobi-s/?itemId=401998389&channelSource=pdp
4.3,557,https://www.daraz.pk/products/harry-potter-maroon-digital-printed-t-shirt-for-men-i104272126-s1250626822.html?search=1,899,450,-50%,https://static-01.daraz.pk/p/9be36130d5dca4f885e85f9683e4e1ff.jpg,Jack Beos,Harry Potter Maroon Digital Printed T-Shirt For Men,193707,104272126,Jack Beos,90%,0.9,3,9367,87%,//www.daraz.pk/shop/jack-beos-karachi/?itemId=104272126&channelSource=pdp
4.7,24,https://www.daraz.pk/products/amazing-summer-collection-live-like-a-king-printed-smart-fit-white-trendy-printed-o-neck-half-sleeves-t-shirt-for-men-n-boys-i394304486-s1918465941.html?search=1,679,379,-44%,https://static-01.daraz.pk/p/ff7d121800388e5c3b5dd31ad1278e12.jpg,No Brand,Amazing Summer Collection Live Like A King Printed Smart Fit White Trendy Printed O-Neck Half Sleeves T Shirt For Men N Boys,39704,394304486,Fashion Lab,85%,0.85,3,6005012925047,94%,//www.daraz.pk/shop/fashion-lab/?itemId=394304486&channelSource=pdp
4.6,64,https://www.daraz.pk/products/pubg-i271978122-s1485053393.html?search=1,999,350,-65%,https://static-01.daraz.pk/p/ada4f619c153ccf8ced3563c0f8771e7.jpg,No Brand,White Half Sleeves Round Neck Cotton Printed Pubg T Shirt,39704,271978122,Sherooz Collection,82%,0.82,3,8233,97%,//www.daraz.pk/shop/sherooz-collection-rawalpindi/?itemId=271978122&channelSource=pdp
